country,Period,eval_test,runtime,MODEL_VERSION,MODEL_VERSION_NOTE,test
france,"('2017-11-29', '2019-10-31')",1014,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",553,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",705,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",144,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",200,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",423,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2014,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",164,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",20132,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",21441,00:00:11,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",1815,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",942,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",516,00:00:06,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",717,00:00:04,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",143,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",201,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",469,00:00:05,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2011,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",178,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",18335,00:00:06,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",21235,00:00:11,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",1838,00:00:06,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",972,00:00:06,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",507,00:00:07,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",687,00:00:03,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",136,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",208,00:00:04,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",475,00:00:06,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",1998,00:00:03,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",177,00:00:06,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",19700,00:00:07,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-10-31')",24930,00:00:31,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2240,00:00:10,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",894,00:00:10,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",528,00:00:10,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",649,00:00:06,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",155,00:00:09,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",177,00:00:08,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",289,00:00:10,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-24')",2007,00:00:06,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",179,00:00:10,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",19231,00:00:10,0.1,supervised learning model for time-series,False
all,"('2017-12-05', '2019-10-31')",{'rmse': 0.5},00:00:09,0.1,test model,False
all,"('2017-12-05', '2019-10-31')",{'rmse': 0.5},00:00:09,0.1,test model,False
all,"('2017-12-05', '2019-10-31')",{'rmse': 0.5},00:00:09,0.1,test model,False
all,"('2017-11-29', '2019-10-31')",34343,00:00:14,0.1,supervised learning model for time-series,False
eire,"('2017-11-29', '2019-10-31')",2286,00:00:07,0.1,supervised learning model for time-series,False
france,"('2017-11-29', '2019-10-31')",979,00:00:07,0.1,supervised learning model for time-series,False
germany,"('2017-11-29', '2019-10-31')",742,00:00:07,0.1,supervised learning model for time-series,False
hong_kong,"('2018-04-19', '2019-10-01')",957,00:00:04,0.1,supervised learning model for time-series,False
netherlands,"('2017-11-30', '2019-10-31')",168,00:00:06,0.1,supervised learning model for time-series,False
norway,"('2017-12-05', '2019-10-31')",203,00:00:05,0.1,supervised learning model for time-series,False
portugal,"('2017-11-29', '2019-10-31')",580,00:00:06,0.1,supervised learning model for time-series,False
singapore,"('2018-04-25', '2019-08-04')",0,00:00:04,0.1,supervised learning model for time-series,False
spain,"('2017-12-01', '2019-10-31')",256,00:00:07,0.1,supervised learning model for time-series,False
united_kingdom,"('2017-11-29', '2019-10-31')",35242,00:00:07,0.1,supervised learning model for time-series,False
all,"('2017-11-29', '2019-05-31')",0.84,00:02:05,0.1,supervised learning model for time-series,False
australia,"('2017-11-29', '2019-05-31')",0.84,00:02:00,0.1,supervised learning model for time-series,False
